Frame=440, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=450, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=460, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=470, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=480, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=490, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=500, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=510, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=520, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=530, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=540, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=550, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=560, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=570, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=580, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=590, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=600, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=610, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=620, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=630, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=640, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=650, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=660, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=670, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=680, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
Frame=690, file=10.mp4, base=10.mp4, orig=HIGH, new=HIGH
